candidate_id,num_dof_completed,period_pass_count,max_period_error_pct,all_six_period_under_limit,start_amplitude_pass_count,max_start_amplitude_error,all_six_start_amplitude_under_limit,j_total,j_shape_total,start_amplitude_error_total,score_total,rank,decision,reason
SURGE_AF0_N190K_IC185_M105B_T600_0706,1,0,5.7294009,false,1,0.071995513,false,0.039947273,0.92758997,0.071995513,0.057946151,93,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SWAY_AF0_N50K_BQ125X_FULL_0706,1,1,1.8057994,false,1,0.033216633,false,0.049747901,1.0204003,0.033216633,0.058052059,94,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_HEAVE_0703130239_F100_I055,1,1,0.7680994,false,1,0.14014022,false,0.023201332,0.2262039,0.14014022,0.058236387,95,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
BQIC_HEAVE_0704040637_F100_I055,1,1,0.7680994,false,1,0.14014022,false,0.023201332,0.2262039,0.14014022,0.058236387,96,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ0795_T600_0706,1,1,2.7476211,false,1,0.1163626,false,0.029511701,0.62807372,0.1163626,0.058602351,97,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704070142_F102_I074,1,0,3.1176492,false,1,0.10675691,false,0.032112687,0.74792751,0.10675691,0.058801914,98,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704055611_F105_I074,1,0,7.664736,false,1,0.11709488,false,0.029763991,0.64985472,0.11709488,0.059037711,99,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704074649_F102_I073,1,0,7.9946436,false,1,0.12506372,false,0.027828292,0.59607752,0.12506372,0.059094222,100,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N210K_IC180_T600_0706,1,1,2.5311394,false,1,0.097625047,false,0.034817392,0.79213078,0.097625047,0.059223654,101,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_BQ085_T600_0706,1,1,1.7758057,false,1,0.10697229,false,0.032885817,0.72348144,0.10697229,0.059628889,102,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N190K_IC178_M105B_T600_0706,1,1,2.8734799,false,1,0.10757534,false,0.032945088,0.66765095,0.10757534,0.059838923,103,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N190K_IC178_T600_0706,1,0,5.7179264,false,1,0.10180331,false,0.034542622,0.68908025,0.10180331,0.05999345,104,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N650K_IC205_FULL_0706,1,0,8.1973775,false,1,0.080412338,false,0.039977941,1.0002725,0.080412338,0.060081026,105,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_HEAVE_0704040637_F100_I056,1,1,0.76043846,false,1,0.15015627,false,0.023288936,0.22433173,0.15015627,0.060828004,106,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
SURGE_AF0_N650K_IC205_T450_0706,1,1,0.052596127,false,1,0.063294394,false,0.045101455,0.78959247,0.063294394,0.060925053,107,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
